old                                      new                                      ref
f5466a456ba4f14a95b8735a7ce238c7f26e6255 0ff9bc317072fe685277fb2723376a78cd94182e refs/heads/analysis/idea-54125bda/analysis-2cc2d420-ridge-scale-robustness
84dc51fea1645522c0245fa15f5e31df237f9d2e 244339feb8cad163034e18df00e3bdc24bd1fdef refs/heads/analysis/idea-54125bda/analysis-bb5b0939-new-image-confirmation
ee5af675a5ec7ed13a2f1d817f72b08a7b507ba6 bd55ec8d2f03abccb8f438f5ef52f018048d52b0 refs/heads/analysis/idea-54125bda/analysis-bb5b0939-retrieval-head-attribution
0f3484d13e2547a9d35c68957151ea7b3f36a85b b18580b54a9fd193fbafa7a3abfcb608e3d415ec refs/heads/analysis/idea-5670808c/analysis-1985c6ec-ilpcz-gallery-control
ac6a7385c182af7a1ff84a744132cec6eefa76a9 3daeb66b211998ca60129984bac83fc53f67dd1f refs/heads/analysis/idea-8c090fcf/analysis-1b946833-canonical-additional-domains
13f7bba979ef215af38213ffa6377a278d371d44 1fd9158beff63d6a95562176071dd36410ea86bf refs/heads/analysis/idea-8c090fcf/analysis-5cd86318-press-fixed-penalty-challenge
591573c8aedee3f1c5e87ed83485a6347a9637e9 9c9999de1c86d5bb9ba0fec37198ee8fb8b45fe6 refs/heads/analysis/idea-8c090fcf/analysis-8a348b17-multinomial-logistic-control
1d1d6eb341c1de4e9d6374c60641af11f418a0d3 b798f7ffd02db4cb5d0464339f50713cd9bebc00 refs/heads/analysis/scatter-centering-attribution-20260913
85b0e579fd7379392b3c710d44e21e8fc18bc8a1 983d830c1b39747eaf09ba84d4a07f5d16ae47bb refs/heads/idea/012-idea-01adcb83
82ca305b9b1b85296c71395ef4d7464123baad22 e33e0d5e19c627d506c226a9619c7250fce635db refs/heads/idea/012-idea-0557da70
ba61f60a275e8a63dcab7cad0f027c792ff5f854 103a9acfd1c6b86d846d042cdfc32666a7417a94 refs/heads/idea/012-idea-0f204a61
5fe10bcab73373fa1e3320b170e4e2c595bfb027 82c1ab8b5ef5c971c7688ac150e40bc4463e500a refs/heads/idea/012-idea-134c9aa0
5974ba2ab556e987b0a71790ce978756f168da74 1eb1de4af76679e1a8cfe0b59b4dc780f43693e3 refs/heads/idea/012-idea-54125bda
